DATE,CPIAUCSL_CCH,
1975/1/1,2.11479,0.0211479
1975/4/1,1.19762,0.0119762
1975/7/1,1.98518,0.0198518
1975/10/1,1.82598,0.0182598
1976/1/1,1.13944,0.0113944
1976/4/1,0.89048,0.0089048
1976/7/1,1.58315,0.0158315
1976/10/1,1.44386,0.0144386
1977/1/1,1.81823,0.0181823
1977/4/1,1.73044,0.0173044
1977/7/1,1.37403,0.0137403
1977/10/1,1.46304,0.0146304
1978/1/1,1.70671,0.0170671
1978/4/1,2.24846,0.0224846
1978/7/1,2.30013,0.0230013
1978/10/1,2.2978,0.022978
1979/1/1,2.48733,0.0248733
1979/4/1,3.1297,0.031297
1979/7/1,3.17049,0.0317049
1979/10/1,3.1169,0.031169
1980/1/1,3.86979,0.0386979
1980/4/1,3.31843,0.0331843
1980/7/1,1.85939,0.0185939
1980/10/1,2.76479,0.0276479
1981/1/1,2.72832,0.0272832
1981/4/1,2.06348,0.0206348
1981/7/1,2.74692,0.0274692
1981/10/1,1.61265,0.0161265
1982/1/1,0.8848,0.008848
1982/4/1,1.43434,0.0143434
1982/7/1,1.72181,0.0172181
1982/10/1,0.3068,0.003068
1983/1/1,0.06805,0.0006805
1983/4/1,1.14983,0.0114983
1983/7/1,0.97039,0.0097039
1983/10/1,0.99404,0.0099404
1984/1/1,1.40778,0.0140778
1984/4/1,0.93837,0.0093837
1984/7/1,0.86581,0.0086581
1984/10/1,0.85837,0.0085837
1985/1/1,0.91382,0.0091382
1985/4/1,0.90555,0.0090555
1985/7/1,0.61977,0.0061977
1985/10/1,1.0143,0.010143
1986/1/1,0.51853,0.0051853
1986/4/1,-0.48795,-0.0048795
1986/7/1,0.60957,0.0060957
1986/10/1,0.69644,0.0069644
1987/1/1,1.19977,0.0119977
1987/4/1,1.12661,0.0112661
1987/7/1,1.05573,0.0105573
1987/10/1,0.92916,0.0092916
1988/1/1,0.77732,0.0077732
1988/4/1,1.14059,0.0114059
1988/7/1,1.21179,0.0121179
1988/10/1,1.08651,0.0108651
