DATE,GDPC1_CCH,
1975/1/1,-1.22477,-0.0122477
1975/4/1,0.712,0.00712
1975/7/1,1.69717,0.0169717
1975/10/1,1.33752,0.0133752
1976/1/1,2.22385,0.0222385
1976/4/1,0.73102,0.0073102
1976/7/1,0.54722,0.0054722
1976/10/1,0.72223,0.0072223
1977/1/1,1.17457,0.0117457
1977/4/1,1.92545,0.0192545
1977/7/1,1.78827,0.0178827
1977/10/1,0.00219,0.0000219
1978/1/1,0.31867,0.0031867
1978/4/1,3.79146,0.0379146
1978/7/1,1.0005,0.010005
1978/10/1,1.33519,0.0133519
1979/1/1,0.17962,0.0017962
1979/4/1,0.10687,0.0010687
1979/7/1,0.74013,0.0074013
1979/10/1,0.24976,0.0024976
1980/1/1,0.31402,0.0031402
1980/4/1,-2.082,-0.02082
1980/7/1,-0.11892,-0.0011892
1980/10/1,1.84775,0.0184775
1981/1/1,1.94049,0.0194049
1981/4/1,-0.74384,-0.0074384
1981/7/1,1.19041,0.0119041
1981/10/1,-1.09553,-0.0109553
1982/1/1,-1.56573,-0.0156573
1982/4/1,0.45516,0.0045516
1982/7/1,-0.38303,-0.0038303
1982/10/1,0.03993,0.0003993
1983/1/1,1.30925,0.0130925
1983/4/1,2.2501,0.022501
1983/7/1,1.97935,0.0197935
1983/10/1,2.06476,0.0206476
1984/1/1,1.93591,0.0193591
1984/4/1,1.71303,0.0171303
1984/7/1,0.95945,0.0095945
1984/10/1,0.81751,0.0081751
1985/1/1,0.96442,0.0096442
1985/4/1,0.8766,0.008766
1985/7/1,1.51558,0.0151558
1985/10/1,0.74054,0.0074054
1986/1/1,0.92917,0.0092917
1986/4/1,0.44937,0.0044937
1986/7/1,0.95248,0.0095248
1986/10/1,0.53564,0.0053564
1987/1/1,0.74241,0.0074241
1987/4/1,1.07312,0.0107312
1987/7/1,0.86387,0.0086387
1987/10/1,1.70248,0.0170248
1988/1/1,0.5153,0.005153
1988/4/1,1.30531,0.0130531
1988/7/1,0.58422,0.0058422
1988/10/1,1.3237,0.013237
1989/1/1,1.01147,0.0101147
1989/4/1,0.76037,0.0076037
1989/7/1,0.73815,0.0073815
1989/10/1,0.19685,0.0019685
1990/1/1,1.08686,0.0108686
1990/4/1,0.36225,0.0036225
1990/7/1,0.0665,0.000665
1990/10/1,-0.91455,-0.0091455
1991/1/1,-0.46894,-0.0046894
1991/4/1,0.77669,0.0077669
1991/7/1,0.50402,0.0050402
1991/10/1,0.34789,0.0034789
1992/1/1,1.18994,0.0118994
1992/4/1,1.07852,0.0107852
1992/7/1,0.98342,0.0098342
