Date,RDM,FEDV,UnempIdx
1975/1/1,-0.0149827,0,-2.406654453
1975/4/1,0.0030527,0.039912746,-2.330024709
1975/7/1,-0.0012072,0.020961888,-2.380566319
1975/10/1,-0.0115098,0.022545631,-2.402266864
1976/1/1,0.0030823,0.021388375,-2.479142945
1976/4/1,0.008046,0.012566587,-2.502735028
1976/7/1,-0.0057405,0.023263795,-2.479142945
1976/10/1,0.003257,0.022355869,-2.474480526
1977/1/1,0.0055951,0.012921283,-2.512305624
1977/4/1,0.0020901,0.014197207,-2.566386139
1977/7/1,0.0018963,0.027643837,-2.602152773
1977/10/1,0.0047252,0.029280532,-2.63905733
1978/1/1,0.0037641,0.032132199,-2.69391569
1978/4/1,0.0020642,0.027832935,-2.751535313
1978/7/1,-0.0059541,0.031014291,-2.74564046
1978/10/1,-0.0073186,0.028682707,-2.769405696
1979/1/1,-0.0108233,0.01993649,-2.775425604
1979/4/1,-0.0039767,0.013804827,-2.806015015
1979/7/1,-0.0100114,0.024293797,-2.775425604
1979/10/1,-0.0239788,0.028262339,-2.757460905
1980/1/1,-0.0206234,0.040053476,-2.699548556
1980/4/1,-0.0389628,0.046558332,-2.53657866
1980/7/1,0.0156149,0.059642994,-2.48852329
1980/10/1,-0.0026437,0.048515693,-2.526809141
1981/1/1,-0.0136772,0.045471463,-2.521954716
1981/4/1,0.0049313,0.038645835,-2.526809141
1981/7/1,-0.0247594,0.045819882,-2.526809141
1981/10/1,-0.0040422,0.040881802,-2.411058169
1982/1/1,0.0147183,0.037953308,-2.334156889
1982/4/1,-0.003856,0.034739423,-2.261836712
1982/7/1,-0.0061,0.044160767,-2.208385407
1982/10/1,0.0363317,0.060478128,-2.125251078
1983/1/1,0.0281304,0.045347531,-2.157131744
1983/4/1,0.019052,0.050331455,-2.182496771
1983/7/1,0.0127642,0.042791003,-2.269664775
1983/10/1,0.0072306,0.023693142,-2.371994544
1984/1/1,0.0026576,0.02518114,-2.46060238
1984/4/1,0.0081233,0.033984172,-2.521954716
1984/7/1,-0.0005781,0.034659619,-2.521954716
1984/10/1,0.0022461,0.047047961,-2.541494124
1985/1/1,0.0176006,0.036886768,-2.551387408
1985/4/1,0.0147549,0.036543341,-2.541494124
1985/7/1,0.0283295,0.039168215,-2.556365614
1985/10/1,0.0181144,0.036371879,-2.581580254
1986/1/1,0.0165108,0.033929841,-2.581580254
1986/4/1,0.0431689,0.044234874,-2.561365124
1986/7/1,0.0354204,0.046861686,-2.591820982
1986/10/1,0.0356132,0.025643023,-2.612577406
1987/1/1,0.0203264,0.01747334,-2.649821696
1987/4/1,0.0059929,0.020587398,-2.70520929
1987/7/1,-0.0094117,0.01316914,-2.751535313
1987/10/1,0.0014812,0.022866856,-2.78147767
1988/1/1,-0.0007148,0.025193809,-2.806015015
1988/4/1,0.0070744,0.013020191,-2.85028346
1988/7/1,0.0008111,0.009587018,-2.85028346
1988/10/1,-0.0080387,0.022587549,-2.876385516
1989/1/1,-0.012284,0.023042539,-2.903110784
1989/4/1,-0.0266752,0.025566061,-2.896369306
1989/7/1,-0.0033517,0.026756867,-2.896369306
1989/10/1,0.002342,0.02693379,-2.869802791
1990/1/1,-0.0054912,0.03332634,-2.88300718
1990/4/1,0.0001604,0.034237363,-2.876385516
1990/7/1,-0.0060582,0.026469237,-2.806015015
1990/10/1,-0.0084243,0.027932572,-2.72813696
1991/1/1,0.0054083,-0.007886619,-2.649821696
1991/4/1,0.0139263,0.026979328,-2.612577406
1991/7/1,0.0116342,0.038229928,-2.607353371
1991/10/1,0.016219,0.042270855,-2.571428862
1992/1/1,0.0336222,0.055947215,-2.531683728
1992/4/1,0.0195652,0.0498062,-2.497978731
1992/7/1,0.0187566,0.047928733,-2.493241541
1992/10/1,0.0312777,0.045115492,-2.531683728
1993/1/1,0.0116429,0.031885915,-2.566386139
1993/4/1,0.0202239,0.026152601,-2.576493497
1993/7/1,0.0245967,0.025649319,-2.61782511
1993/10/1,0.016921,0.027165044,-2.644426951
1994/1/1,0.0072143,0.007979011,-2.655241822
1994/4/1,0.0006024,0.01016592,-2.716615564
1994/7/1,-0.0023688,0.018151865,-2.751535313
1994/10/1,-0.0061853,0.022921444,-2.81848657
1995/1/1,-0.0091532,0.023900932,-2.85028346
1995/4/1,-0.0100778,0.023472818,-2.812233554
1995/7/1,-0.0067457,0.020344921,-2.812233554
1995/10/1,-0.0153915,0.009819575,-2.831097687
1996/1/1,-0.0190369,0.021037459,-2.837456632
1996/4/1,-0.0108901,0.018329444,-2.843851742
1996/7/1,-0.0196684,0.013728462,-2.889668276
1996/10/1,-0.0268738,0.016040783,-2.876385516
1997/1/1,-0.0115869,0.008798483,-2.896369306
1997/4/1,-0.0143243,0.014177751,-2.944438979
1997/7/1,-0.0007016,0.008849295,-2.972870176
1997/10/1,-0.0050256,0.017488726,-3.016934481
1998/1/1,0.0041731,0.004694839,-3.02445256
1998/4/1,-0.0023106,0.007781407,-3.078568279
1998/7/1,-0.005446,0.005762771,-3.047319642
1998/10/1,0.0091605,0.013948616,-3.070672338
1999/1/1,0.0010516,0.007445891,-3.102603276
1999/4/1,-0.0033088,0.005347013,-3.110733666
1999/7/1,-0.0104998,0.012347472,-3.118924973
1999/10/1,0.0051123,0.019849718,-3.160829843
2000/1/1,-0.0091802,0.00683068,-3.169407745
2000/4/1,-0.0123556,0.019173713,-3.195555152
2000/7/1,-0.0150207,0.014171651,-3.17805383
2000/10/1,-0.0143462,0.014332653,-3.204412763
2001/1/1,-0.001329,0.025674519,-3.118924973
2001/4/1,0.009424,0.024333267,-3.078568279
2001/7/1,0.0360702,0.028927949,-2.98009338
2001/10/1,0.0079484,0.022915041,-2.843851742
2002/1/1,0.0122289,0.034062777,-2.806015015
2002/4/1,-0.0092582,0.039560211,-2.78147767
2002/7/1,-0.0017612,0.034034635,-2.79983055
2002/10/1,0.0083259,0.037266788,-2.775425604
2003/1/1,0.0090989,0.03950315,-2.775425604
2003/4/1,0.0269548,0.05536117,-2.72813696
2003/7/1,0.0137801,0.043251091,-2.72813696
2003/10/1,0.0018515,0.043616107,-2.78147767
2004/1/1,0.0050623,0.04160878,-2.806015015
2004/4/1,0.0053655,0.031552359,-2.824774475
2004/7/1,0.005757,0.029710845,-2.856752234
2004/10/1,0.0027498,0.033866012,-2.856752234
2005/1/1,-0.0058815,0.04136246,-2.88300718
2005/4/1,-0.0078019,0.03851799,-2.923583166
2005/7/1,-0.0099102,0.03242322,-2.951478783
2005/10/1,-0.0089992,0.039218847,-2.951478783
2006/1/1,-0.0017325,0.041870146,-3.002050301
2006/4/1,-0.0082707,0.036171949,-3.02445256
2006/7/1,-0.0178366,0.030770511,-3.02445256
2006/10/1,0.0037505,0.020942194,-3.070672338
2007/1/1,-0.011294,0.035545124,-3.055048851
2007/4/1,-0.0050441,0.034405556,-3.055048851
2007/7/1,-0.0070846,0.029263901,-3.016934481
2007/10/1,-0.0119713,0.034761975,-2.987364024
2008/1/1,-0.0054753,0.041426069,-2.944438979
2008/4/1,-0.0026203,0.114364362,-2.876385516
2008/7/1,0.0085547,0.042297121,-2.751535313
2008/10/1,0.0911048,0.017043075,-2.607353371
2009/1/1,0.0361714,0.042588869,-2.406654453
2009/4/1,0.0277703,0.094236721,-2.277542957
2009/7/1,0.0115955,0.079294442,-2.238646161
2009/10/1,0.0053398,0.068327646,-2.204654032
2010/1/1,0.0049269,0.084218629,-2.215881835
2010/4/1,0.0109658,0.065705961,-2.238646161
2010/7/1,0.0160185,0.059135491,-2.257941251
2010/10/1,0.0305611,0.050432507,-2.254058052
2011/1/1,0.0204867,0.037927607,-2.3095717
2011/4/1,0.0198042,0.03312641,-2.305521953
2011/7/1,0.067902,0.00193598,-2.313634929
2011/10/1,0.0314375,0.002635404,-2.359250035
2012/1/1,0.0203192,-0.004138048,-2.406654453
2012/4/1,0.0189366,-0.005207316,-2.415478143
2012/7/1,0.0352356,-0.015662271,-2.437826641
2012/10/1,0.0281636,-0.005136103,-2.469836397
2013/1/1,0.0121801,-0.016246507,-2.479142945
2013/4/1,0.0211714,-0.010222906,-2.507510602
2013/7/1,0.0084479,-0.012749464,-2.551387408
2013/10/1,0.0258119,-0.015621768,-2.596975384
2014/1/1,0.0266908,-0.003481108,-2.63905733
2014/4/1,0.0219457,0.003883972,-2.716615564
2014/7/1,0.0098741,0.008739425,-2.739776005
2014/10/1,0.0242398,0.002620991,-2.806015015
2015/1/1,0.0349899,0.014827085,-2.837456632
2015/4/1,0.0000789,0.011397852,-2.856752234
2015/7/1,0.0080435,0.011035358,-2.923583166
2015/10/1,0.0086005,0.016614126,-2.937443498
2016/1/1,0.0203088,0.019986413,-2.965693764
2016/4/1,0.0251593,0.015491379,-2.958563508
2016/7/1,0.0164037,0.018038449,-2.965693764
2016/10/1,0.0071245,0.015410739,-2.994682772
2017/1/1,0.0139557,0.011276723,-3.039644379
2017/4/1,0.0243702,0.007872688,-3.078568279
2017/7/1,0.014397,0.013634446,-3.102603276
2017/10/1,0.0042288,0.017789421,-3.143874153
2018/1/1,0.0004105,0.024539762,-3.169407745
2018/4/1,-0.0011179,0.023633174,-3.195555152
2018/7/1,0.002963,0.025519183,-3.240585361
2018/10/1,0.0054246,0.02859189,-3.222348051
2019/1/1,0.0036377,0.037555761,-3.213343307
2019/4/1,0.0080865,0.032965635,-3.268531415
2019/7/1,0.0135987,0.031815806,-3.287572356
2019/10/1,0.0139605,0.027832295,-3.287572356
,,,
,,,
,,,
,,,
,,,
